example_id                                    | status  | run_time        |
./spec/lib/coresense_client_spec.rb[1:17:2]   | passed  | 0.20008 seconds |
./spec/lib/coresense_client_spec.rb[1:17:3]   | passed  | 0.21998 seconds |
./spec/lib/coresense_client_spec.rb[1:17:4]   | passed  | 0.5375 seconds  |
./spec/lib/coresense_client_spec.rb[1:17:5]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:17:6:1] | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:18:1]   | passed  | 0.00049 seconds |
./spec/lib/coresense_client_spec.rb[1:18:2]   | passed  | 0.18865 seconds |
./spec/lib/coresense_client_spec.rb[1:18:3]   | passed  | 0.17678 seconds |
./spec/lib/coresense_client_spec.rb[1:18:4]   | passed  | 0.58031 seconds |
./spec/lib/coresense_client_spec.rb[1:19:1]   | passed  | 0.00051 seconds |
./spec/lib/coresense_client_spec.rb[1:19:2]   | passed  | 0.18667 seconds |
./spec/lib/coresense_client_spec.rb[1:19:3]   | passed  | 0.19925 seconds |
./spec/lib/coresense_client_spec.rb[1:19:4]   | passed  | 0.57228 seconds |
./spec/lib/coresense_client_spec.rb[1:19:5]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:19:6]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:20:1]   | passed  | 0.00049 seconds |
./spec/lib/coresense_client_spec.rb[1:20:2]   | passed  | 0.16869 seconds |
./spec/lib/coresense_client_spec.rb[1:20:3]   | passed  | 0.19097 seconds |
./spec/lib/coresense_client_spec.rb[1:20:4]   | passed  | 0.57001 seconds |
./spec/lib/coresense_client_spec.rb[1:20:5]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:20:6]   | pending | 0.00001 seconds |
./spec/lib/coresense_client_spec.rb[1:21:1]   | passed  | 0.00063 seconds |
./spec/lib/coresense_client_spec.rb[1:21:2]   | passed  | 0.18246 seconds |
./spec/lib/coresense_client_spec.rb[1:21:3]   | passed  | 0.18964 seconds |
./spec/lib/coresense_client_spec.rb[1:21:4]   | passed  | 0.55722 seconds |
./spec/lib/coresense_client_spec.rb[1:21:5]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:22:1]   | passed  | 0.00043 seconds |
./spec/lib/coresense_client_spec.rb[1:22:2]   | passed  | 0.19794 seconds |
./spec/lib/coresense_client_spec.rb[1:22:3]   | passed  | 0.20573 seconds |
./spec/lib/coresense_client_spec.rb[1:22:4]   | passed  | 0.59383 seconds |
./spec/lib/coresense_client_spec.rb[1:23:1]   | passed  | 0.00053 seconds |
./spec/lib/coresense_client_spec.rb[1:23:2]   | passed  | 0.17588 seconds |
./spec/lib/coresense_client_spec.rb[1:23:3]   | passed  | 0.18195 seconds |
./spec/lib/coresense_client_spec.rb[1:23:4]   | passed  | 0.55431 seconds |
./spec/lib/coresense_client_spec.rb[1:23:5]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:24:1]   | passed  | 0.00042 seconds |
./spec/lib/coresense_client_spec.rb[1:24:2]   | passed  | 0.19324 seconds |
./spec/lib/coresense_client_spec.rb[1:24:3]   | passed  | 0.54171 seconds |
./spec/lib/coresense_client_spec.rb[1:25:1]   | passed  | 0.00063 seconds |
./spec/lib/coresense_client_spec.rb[1:25:2]   | passed  | 0.18825 seconds |
./spec/lib/coresense_client_spec.rb[1:25:3]   | passed  | 0.56109 seconds |
./spec/lib/coresense_client_spec.rb[1:26:1]   | passed  | 0.00044 seconds |
./spec/lib/coresense_client_spec.rb[1:26:2]   | passed  | 0.18129 seconds |
./spec/lib/coresense_client_spec.rb[1:26:3]   | passed  | 0.18105 seconds |
./spec/lib/coresense_client_spec.rb[1:26:4]   | passed  | 0.54494 seconds |
./spec/lib/coresense_client_spec.rb[1:27:1]   | passed  | 0.00057 seconds |
./spec/lib/coresense_client_spec.rb[1:27:2]   | passed  | 0.17442 seconds |
./spec/lib/coresense_client_spec.rb[1:27:3]   | passed  | 0.17569 seconds |
./spec/lib/coresense_client_spec.rb[1:27:4]   | passed  | 0.52977 seconds |
./spec/lib/coresense_client_spec.rb[1:27:5]   | pending | 0.00002 seconds |
./spec/lib/coresense_client_spec.rb[1:27:6]   | pending | 0.00001 seconds |
./spec/lib/coresense_client_spec.rb[1:27:7:1] | pending | 0.00001 seconds |
./spec/lib/coresense_client_spec.rb[1:27:7:2] | pending | 0.00001 seconds |
./spec/lib/coresense_client_spec.rb[1:27:8]   | pending | 0.00001 seconds |
./spec/lib/coresense_client_spec.rb[1:28:1]   | passed  | 0.00032 seconds |
./spec/lib/coresense_client_spec.rb[1:28:2]   | passed  | 0.16757 seconds |
./spec/lib/coresense_client_spec.rb[1:28:3]   | passed  | 0.17851 seconds |
./spec/lib/coresense_client_spec.rb[1:28:4]   | passed  | 0.5323 seconds  |
./spec/lib/coresense_client_spec.rb[1:28:5]   | pending | 0.00001 seconds |
